Crop,Rainfall,Water Source,Soil Type,Organic,Fertilizers Used,Climate,Season,Labor Availability,Yield
Cotton,Abundant,Other,Sandy,Yes,"Urea, Potash",Tropical,Summer,Low,34
Turmeric,Abundant,Other,Loamy,No,"DAP, Compost",Tropical,Summer,Low,70
Turmeric,Abundant,Other,Clay,No,"Urea, Potash",Tropical,Summer,Medium,44
Mango,Abundant,Other,Sandy,Yes,DAP,Tropical,Spring,High,23
Sugarcane,Abundant,Other,Loamy,Yes,Urea,Tropical,Summer,Low,68
Mango,Abundant,Rain,Sandy,Yes,"Urea, Potash",Tropical,Spring,Medium,88
Turmeric,Abundant,Bore,Clay,Yes,None,Tropical,Autumn,Low,59
Sugarcane,Abundant,Bore,Clay,No,Urea,Tropical,Summer,Low,93
Grape,Medium,Rain,Loamy,No,Compost,Temperate,Spring,Medium,31
Cotton,Abundant,Bore,Saline,Yes,"DAP, Compost",Dry,Summer,High,70
Grape,Medium,Other,Sandy,Yes,Compost,Temperate,Spring,Medium,38
Grape,Medium,Rain,Sandy,No,"Urea, DAP, Potash",Tropical,Spring,High,33
Sugarcane,Abundant,Other,Clay,Yes,DAP,Tropical,Summer,Low,54
Mango,Abundant,Rain,Sandy,No,DAP,Tropical,Spring,Low,64
Cotton,Abundant,Other,Saline,Yes,Urea,Dry,Summer,High,51
Turmeric,Abundant,Other,Loamy,No,DAP,Tropical,Summer,Medium,43
Sugarcane,Abundant,Rain,Clay,Yes,DAP,Tropical,Spring,High,65
Cotton,Abundant,Other,Sandy,Yes,DAP,Tropical,Summer,Low,89
Maize,Medium,Rain,Sandy,Yes,Compost,Dry,Spring,Medium,29
Grape,Medium,Other,Loamy,Yes,None,Temperate,Spring,Medium,88
Barley,Medium,Rain,Loamy,Yes,DAP,Temperate,Spring,Low,95
Sugarcane,Abundant,Bore,Clay,No,"Urea, Potash",Tropical,Spring,Medium,31
Maize,Medium,Other,Sandy,Yes,"Urea, DAP, Potash",Dry,Spring,Medium,26
Cotton,Abundant,Other,Sandy,Yes,"Urea, Potash",Tropical,Summer,High,52
Maize,Less/No Rain,Bore,Sandy,Yes,"Urea, DAP, Potash",Temperate,Spring,Medium,48
Sugarcane,Abundant,Rain,Loamy,Yes,Potash,Tropical,Spring,High,26
Wheat,Medium,Other,Sandy,No,DAP,Temperate,Autumn,High,52
Cotton,Abundant,Other,Sandy,Yes,Compost,Tropical,Summer,Medium,50
Grape,Medium,Other,Loamy,Yes,Compost,Temperate,Spring,High,56
Wheat,Medium,Other,Loamy,No,Compost,Temperate,Autumn,Medium,23
Wheat,Medium,Other,Sandy,Yes,"DAP, Compost",Temperate,Spring,Low,71
Maize,Less/No Rain,Bore,Sandy,Yes,Potash,Dry,Summer,High,47
Rice,Abundant,Other,Silt,No,"Urea, DAP, Potash",Tropical,Summer,Medium,22
Millet,Less/No Rain,Bore,Loamy,Yes,DAP,Dry,Summer,High,32
Cotton,Abundant,Rain,Sandy,Yes,Compost,Tropical,Summer,Low,28
Rice,Abundant,Other,Silt,Yes,Urea,Tropical,Summer,Medium,59
Mango,Abundant,Other,Loamy,Yes,Urea,Tropical,Spring,Medium,77
Turmeric,Abundant,Rain,Clay,Yes,None,Tropical,Autumn,Low,97
Barley,Medium,Other,Sandy,Yes,None,Temperate,Spring,Low,70
Cotton,Abundant,Rain,Sandy,Yes,"Urea, Potash",Dry,Summer,Low,63
Wheat,Medium,Bore,Sandy,Yes,Potash,Temperate,Spring,Medium,97
Rice,Abundant,Rain,Silt,Yes,Urea,Tropical,Summer,Low,38
